"ID","Author","Year","Kingdom","Species","Method","yi","vi","se"
"57","Shi & Chen",2012,"Plant","Castanopsis sclerophylla","GD",-0.897268649859992,0.454642721353221,0.674271993599928
"58","Stone et al.",2012,"Plant","Isotria medeoloides","GD",2.35017449559713,0.285278581766141,0.534114764602273
"60","Trapnell et al.",2012,"Plant","Euphorbia telephioides","GD",-0.42510690225584,0.824583880793694,0.908066011253419
"61","Van Rossum  et al.",2003,"Plant","Silene nutans","GD",0.238448631549909,0.266228287587595,0.515973146188438
"62","Van Rossum & Prentice",2004,"Plant","Silene nutans","GD",3.48674655398117,0.251913837858593,0.501910189036438
"63","Wagner et al.",2011,"Plant","Stipa capillata","GD",0.262702051766633,0.0284319606712625,0.168617794645946
"66","Zhang et al.",2008,"Plant","Excoecaria agallocha","GD",2.00280425899955,0.220754813503592,0.469845520893402
"52","Saavedra-Sotelo et al",2013,"Animal","Porites panamensis","GD",0.830815471232117,1.81252342995083,1.34629990342079
"34","Jin et al.",2020,"Animal","Tetranychus truncatus","GD",-1.36990768351023,0.265648471397481,0.515410973299444
"34","Jin et al.",2020,"Animal","Tetranychus truncatus","ED",1.64571208764621,0.305254243496741,0.552498184156963
"51","Pironon et al",2015,"Plant","Plantago coronopus","GD",0.17265017520081,0.337348155238463,0.580816800065617
"51","Pironon et al",2015,"Plant","Plantago coronopus","ED",0.506620659863681,0.360033796238847,0.600028162871416
"42","McMinn et al.",2018,"Plant","Cirsium canescens","GD",-0.528359700398505,0.100723038319093,0.31736893092912
"12","Coulson et al.",2011,"Animal","Morula marginalba ","GD",0.857142857142857,0.680272108843537,0.824786098842322
"13","Coyer et al.",2004,"Plant","Zostera noltii","GD",-0.549774625502696,0.12842217886305,0.358360403592598
"16","Diniz-Filho et al.",2009,"Plant","Caryocar brasiliense","GD",-0.951425169292838,0.46316414250273,0.680561637548525
"17","Dixon et al.",2013,"Plant","Leavenworthia stylosa","GD",-0.913450683465816,0.0708008636215273,0.266084316752279
"21","Eckhart et al.",2011,"Plant","Clarkia xantiana xantiana","GD",1.232556833826,0.273068927357238,0.522559974890192
"24","Fuchs et al.",2013,"Animal","Dicrurus forficatus","GD",0.0905996828291448,0.112561763985534,0.335502256304685
"38","Lewandowska-Sabat et al.",2010,"Plant","Arabidopsis thaliana","GD",-1.38683560454216,0.190577981968473,0.436552381700607
"43","Medrano & Herrera",2008,"Plant","Narcissus longispathus","GD",0.609599364843802,0.158956162991381,0.398693068652292
"64","Whiteley et al.",2006,"Animal","Salvelinus confluentus","GD",0.996606501855975,0.23398122597708,0.483716059250755
"65","Yakimowski & Eckert",2008,"Plant","Vaccinium stamineum","GD",-0.567389971185837,0.200416568970113,0.447679091504298
