ID,Author,Year,Kingdom,Species,correlation.coefficient,sample_size,Method,yi,vi,se
6,Dallas et al.,2017,Animal,Aechmophorus clarkii,-0.11,137,GD,-0.110,0.007,0.086
16,Osocrio-Olivera et al,2020,Animal,Aechmophorus clarkii,-0.13,31,MD,-0.131,0.036,0.189
16,Osocrio-Olivera et al,2020,Animal,Aechmophorus clarkii,-0.05,31,ED,-0.050,0.036,0.189
6,Dallas et al.,2017,Animal,Aechmophorus occidentalis,0.19,42,ED,0.192,0.026,0.160
6,Dallas et al.,2017,Animal,Aechmophorus occidentalis,0.03,281,ED,0.030,0.004,0.060
6,Dallas et al.,2017,Animal,Aechmophorus occidentalis,-0.18,44,GD,-0.182,0.024,0.156
6,Dallas et al.,2017,Animal,Aechmophorus occidentalis,0,290,GD,0.000,0.003,0.059
16,Osocrio-Olivera et al,2020,Animal,Aechmophorus occidentalis,-0.02,165,MD,-0.020,0.006,0.079
16,Osocrio-Olivera et al,2020,Animal,Aechmophorus occidentalis,-0.04,165,ED,-0.040,0.006,0.079
2,Blackburn et al ,1999,Animal,Aegithalos caudatus,0.07,191,GD,0.070,0.005,0.073
24,Telleria & Santos,1993,Animal,Aegithalos caudatus,0.09,58,GD,0.090,0.018,0.135
6,Dallas et al.,2017,Animal,Aegolius acadicus,-0.07,99,ED,-0.070,0.010,0.102
6,Dallas et al.,2017,Animal,Aegolius acadicus,0.04,101,GD,0.040,0.010,0.101
16,Osocrio-Olivera et al,2020,Animal,Aegolius acadicus,-0.05,54,MD,-0.050,0.020,0.140
16,Osocrio-Olivera et al,2020,Animal,Aegolius acadicus,-0.07,54,ED,-0.070,0.020,0.140
6,Dallas et al.,2017,Animal,Aegolius funereus,-0.08,27,ED,-0.080,0.042,0.204
6,Dallas et al.,2017,Animal,Aegolius funereus,-0.13,27,GD,-0.131,0.042,0.204
20,Santini et al.,2018,Animal,Aepyceros melampus,0.13,88,GD,0.131,0.012,0.108
20,Santini et al.,2018,Animal,Aepyceros melampus,-0.16,88,MD,-0.161,0.012,0.108
20,Santini et al.,2018,Animal,Aepyceros melampus,-0.23,88,ED,-0.234,0.012,0.108
6,Dallas et al.,2017,Animal,Aeronautes andecolus,-0.56,11,GD,-0.633,0.125,0.354
6,Dallas et al.,2017,Animal,Aeronautes saxatalis,0,220,ED,0.000,0.005,0.068
6,Dallas et al.,2017,Animal,Aeronautes saxatalis,-0.08,222,GD,-0.080,0.005,0.068
16,Osocrio-Olivera et al,2020,Animal,Aeronautes saxatalis,-0.06,216,MD,-0.060,0.005,0.069
16,Osocrio-Olivera et al,2020,Animal,Aeronautes saxatalis,-0.11,216,ED,-0.110,0.005,0.069
6,Dallas et al.,2017,Plant,Aesculus californica,0.21,81,ED,0.213,0.013,0.113
6,Dallas et al.,2017,Plant,Aesculus californica,-0.03,81,GD,-0.030,0.013,0.113
6,Dallas et al.,2017,Plant,Aesculus flava,0.15,1107,ED,0.151,0.001,0.030
6,Dallas et al.,2017,Plant,Aesculus flava,0.05,1107,GD,0.050,0.001,0.030
6,Dallas et al.,2017,Plant,Aesculus sylvatica,-0.14,50,ED,-0.141,0.021,0.146
6,Dallas et al.,2017,Plant,Aesculus sylvatica,-0.25,50,GD,-0.255,0.021,0.146
6,Dallas et al.,2017,Animal,Agelaius phoeniceus,-0.02,1803,ED,-0.020,0.001,0.024
6,Dallas et al.,2017,Animal,Agelaius phoeniceus,-0.03,1811,GD,-0.030,0.001,0.024
16,Osocrio-Olivera et al,2020,Animal,Agelaius phoeniceus,-0.34,2305,MD,-0.354,0.000,0.021
16,Osocrio-Olivera et al,2020,Animal,Agelaius phoeniceus,-0.22,2305,ED,-0.224,0.000,0.021
6,Dallas et al.,2017,Animal,Agelaius tricolor,-0.1,55,ED,-0.100,0.019,0.139
6,Dallas et al.,2017,Animal,Agelaius tricolor,-0.08,55,GD,-0.080,0.019,0.139
16,Osocrio-Olivera et al,2020,Animal,Agelaius tricolor,-0.33,45,MD,-0.343,0.024,0.154
16,Osocrio-Olivera et al,2020,Animal,Agelaius tricolor,-0.2,45,ED,-0.203,0.024,0.154
6,Dallas et al.,2017,Animal,Aimophila rufescens,-0.41,14,ED,-0.436,0.091,0.302
6,Dallas et al.,2017,Animal,Aimophila rufescens,-0.59,14,GD,-0.678,0.091,0.302
16,Osocrio-Olivera et al,2020,Animal,Aimophila rufescens,-0.11,103,MD,-0.110,0.010,0.100
16,Osocrio-Olivera et al,2020,Animal,Aimophila rufescens,0.05,103,ED,0.050,0.010,0.100
6,Dallas et al.,2017,Animal,Aimophila ruficeps,0,117,ED,0.000,0.009,0.094
6,Dallas et al.,2017,Animal,Aimophila ruficeps,-0.16,118,GD,-0.161,0.009,0.093
6,Dallas et al.,2017,Animal,Aix sponsa,0.02,688,ED,0.020,0.001,0.038
6,Dallas et al.,2017,Animal,Aix sponsa,0.07,691,GD,0.070,0.001,0.038
16,Osocrio-Olivera et al,2020,Animal,Aix sponsa,0.01,1212,MD,0.010,0.001,0.029
16,Osocrio-Olivera et al,2020,Animal,Aix sponsa,0.07,1212,ED,0.070,0.001,0.029
6,Dallas et al.,2017,Animal,Alca torda,0.08,40,ED,0.080,0.027,0.164
6,Dallas et al.,2017,Animal,Alca torda,0.25,60,GD,0.255,0.018,0.132
20,Santini et al.,2018,Animal,Alcelaphus buselaphus,-0.13,45,GD,-0.131,0.024,0.154
20,Santini et al.,2018,Animal,Alcelaphus buselaphus,-0.31,45,MD,-0.321,0.024,0.154
20,Santini et al.,2018,Animal,Alcelaphus buselaphus,-0.03,45,ED,-0.030,0.024,0.154
20,Santini et al.,2018,Animal,Alces americanus,0.49,37,GD,0.536,0.029,0.171
20,Santini et al.,2018,Animal,Alces americanus,0.37,37,MD,0.388,0.029,0.171
20,Santini et al.,2018,Animal,Alces americanus,-0.12,37,ED,-0.121,0.029,0.171
6,Dallas et al.,2017,Animal,Alectoris chukar,-0.02,25,ED,-0.020,0.045,0.213
6,Dallas et al.,2017,Animal,Alectoris chukar,-0.03,25,GD,-0.030,0.045,0.213
6,Dallas et al.,2017,Animal,Alle alle,0.06,16,ED,0.060,0.077,0.277
6,Dallas et al.,2017,Animal,Alle alle,0,31,GD,0.000,0.036,0.189
6,Dallas et al.,2017,Plant,Alnus glutinosa,-0.33,19,ED,-0.343,0.063,0.250
6,Dallas et al.,2017,Plant,Alnus glutinosa,-0.31,19,GD,-0.321,0.063,0.250
6,Dallas et al.,2017,Plant,Alnus rhombifolia,-0.15,33,ED,-0.151,0.033,0.183
6,Dallas et al.,2017,Plant,Alnus rhombifolia,-0.05,33,GD,-0.050,0.033,0.183
20,Santini et al.,2018,Animal,Alouatta caraya,0.46,11,GD,0.497,0.125,0.354
20,Santini et al.,2018,Animal,Alouatta caraya,-0.53,11,MD,-0.590,0.125,0.354
20,Santini et al.,2018,Animal,Alouatta caraya,0.01,11,ED,0.010,0.125,0.354
20,Santini et al.,2018,Animal,Alouatta guariba,-0.32,15,GD,-0.332,0.083,0.289
20,Santini et al.,2018,Animal,Alouatta guariba,-0.51,15,MD,-0.563,0.083,0.289
20,Santini et al.,2018,Animal,Alouatta guariba,-0.6,15,ED,-0.693,0.083,0.289
13,Mart地ez-Meyer et al,2012,Animal,Alouatta palliata,-0.83,10,ED,-1.188,0.143,0.378
13,Mart地ez-Meyer et al,2012,Animal,Alouatta palliata,-0.37,10,ED,-0.388,0.143,0.378
20,Santini et al.,2018,Animal,Alouatta palliata,-0.04,34,GD,-0.040,0.032,0.180
20,Santini et al.,2018,Animal,Alouatta palliata,-0.1,34,MD,-0.100,0.032,0.180
20,Santini et al.,2018,Animal,Alouatta palliata,0.23,34,ED,0.234,0.032,0.180
20,Santini et al.,2018,Animal,Alouatta pigra,-0.25,23,GD,-0.255,0.050,0.224
20,Santini et al.,2018,Animal,Alouatta pigra,0.47,23,MD,0.510,0.050,0.224
20,Santini et al.,2018,Animal,Alouatta pigra,-0.23,23,ED,-0.234,0.050,0.224
6,Dallas et al.,2017,Animal,Amaurospiza concolor,-0.25,18,ED,-0.255,0.067,0.258
6,Dallas et al.,2017,Animal,Amaurospiza concolor,0,18,GD,0.000,0.067,0.258
6,Dallas et al.,2017,Animal,Amazilia beryllina,-0.06,33,ED,-0.060,0.033,0.183
6,Dallas et al.,2017,Animal,Amazilia beryllina,-0.2,33,GD,-0.203,0.033,0.183
6,Dallas et al.,2017,Animal,Amazilia candida,0.48,14,ED,0.523,0.091,0.302
6,Dallas et al.,2017,Animal,Amazilia candida,-0.06,14,GD,-0.060,0.091,0.302
6,Dallas et al.,2017,Animal,Amazilia edward,-0.02,16,ED,-0.020,0.077,0.277
6,Dallas et al.,2017,Animal,Amazilia edward,-0.18,16,GD,-0.182,0.077,0.277
6,Dallas et al.,2017,Animal,Amazilia rutila,-0.16,43,ED,-0.161,0.025,0.158
6,Dallas et al.,2017,Animal,Amazilia rutila,-0.16,46,GD,-0.161,0.023,0.152
6,Dallas et al.,2017,Animal,Amazilia saucerottei,-0.41,19,ED,-0.436,0.063,0.250
6,Dallas et al.,2017,Animal,Amazilia saucerottei,-0.19,19,GD,-0.192,0.063,0.250
6,Dallas et al.,2017,Animal,Amazilia tzacatl,-0.03,57,ED,-0.030,0.019,0.136
6,Dallas et al.,2017,Animal,Amazilia tzacatl,-0.14,57,GD,-0.141,0.019,0.136
6,Dallas et al.,2017,Animal,Amazilia violiceps,-0.31,25,ED,-0.321,0.045,0.213
6,Dallas et al.,2017,Animal,Amazilia violiceps,0.08,25,GD,0.080,0.045,0.213
6,Dallas et al.,2017,Animal,Amazilia yucatanensis,-0.19,22,ED,-0.192,0.053,0.229
6,Dallas et al.,2017,Animal,Amazilia yucatanensis,0.29,22,GD,0.299,0.053,0.229
6,Dallas et al.,2017,Animal,Amazona albifrons,-0.18,48,ED,-0.182,0.022,0.149
6,Dallas et al.,2017,Animal,Amazona albifrons,0.01,48,GD,0.010,0.022,0.149
6,Dallas et al.,2017,Animal,Amazona amazonica,0.14,14,ED,0.141,0.091,0.302
6,Dallas et al.,2017,Animal,Amazona amazonica,0.27,14,GD,0.277,0.091,0.302
6,Dallas et al.,2017,Animal,Amazona auropalliata,0.22,24,ED,0.224,0.048,0.218
6,Dallas et al.,2017,Animal,Amazona auropalliata,-0.14,24,GD,-0.141,0.048,0.218
6,Dallas et al.,2017,Animal,Amazona autumnalis,0.29,29,ED,0.299,0.038,0.196
6,Dallas et al.,2017,Animal,Amazona autumnalis,-0.2,29,GD,-0.203,0.038,0.196
6,Dallas et al.,2017,Animal,Amazona farinosa,-0.05,39,ED,-0.050,0.028,0.167
6,Dallas et al.,2017,Animal,Amazona farinosa,0.07,39,GD,0.070,0.028,0.167
6,Dallas et al.,2017,Animal,Amazona ochrocephala,0.38,15,ED,0.400,0.083,0.289
6,Dallas et al.,2017,Animal,Amazona ochrocephala,-0.39,15,GD,-0.412,0.083,0.289
6,Dallas et al.,2017,Animal,Amazona viridigenalis,-0.18,17,ED,-0.182,0.071,0.267
6,Dallas et al.,2017,Animal,Amazona viridigenalis,0.05,18,GD,0.050,0.067,0.258
6,Dallas et al.,2017,Animal,Amblycercus holosericeus,-0.24,18,ED,-0.245,0.067,0.258
6,Dallas et al.,2017,Animal,Amblycercus holosericeus,-0.19,18,GD,-0.192,0.067,0.258
6,Dallas et al.,2017,Plant,Amelanchier sanguinea,0.1,30,ED,0.100,0.037,0.192
6,Dallas et al.,2017,Plant,Amelanchier sanguinea,0.23,30,GD,0.234,0.037,0.192
6,Dallas et al.,2017,Animal,Ammodramus bairdii,0.38,17,ED,0.400,0.071,0.267
6,Dallas et al.,2017,Animal,Ammodramus bairdii,0.2,17,GD,0.203,0.071,0.267
16,Osocrio-Olivera et al,2020,Animal,Ammodramus bairdii,-0.15,113,MD,-0.151,0.009,0.095
16,Osocrio-Olivera et al,2020,Animal,Ammodramus bairdii,-0.39,113,ED,-0.412,0.009,0.095
6,Dallas et al.,2017,Animal,Ammodramus caudacutus,0.22,30,ED,0.224,0.037,0.192
6,Dallas et al.,2017,Animal,Ammodramus caudacutus,0.17,31,GD,0.172,0.036,0.189
6,Dallas et al.,2017,Animal,Ammodramus henslowii,-0.15,93,ED,-0.151,0.011,0.105
6,Dallas et al.,2017,Animal,Ammodramus henslowii,-0.42,93,GD,-0.448,0.011,0.105
16,Osocrio-Olivera et al,2020,Animal,Ammodramus henslowii,-0.15,198,MD,-0.151,0.005,0.072
16,Osocrio-Olivera et al,2020,Animal,Ammodramus henslowii,-0.13,198,ED,-0.131,0.005,0.072
6,Dallas et al.,2017,Animal,Ammodramus leconteii,-0.34,50,ED,-0.354,0.021,0.146
6,Dallas et al.,2017,Animal,Ammodramus leconteii,-0.2,52,GD,-0.203,0.020,0.143
16,Osocrio-Olivera et al,2020,Animal,Ammodramus leconteii,-0.26,198,MD,-0.266,0.005,0.072
16,Osocrio-Olivera et al,2020,Animal,Ammodramus leconteii,-0.06,198,ED,-0.060,0.005,0.072
6,Dallas et al.,2017,Animal,Ammodramus maritimus,0.03,60,ED,0.030,0.018,0.132
6,Dallas et al.,2017,Animal,Ammodramus maritimus,-0.08,64,GD,-0.080,0.016,0.128
16,Osocrio-Olivera et al,2020,Animal,Ammodramus maritimus,0.12,20,MD,0.121,0.059,0.243
16,Osocrio-Olivera et al,2020,Animal,Ammodramus maritimus,-0.11,20,ED,-0.110,0.059,0.243
6,Dallas et al.,2017,Animal,Ammodramus nelsoni,0.07,43,ED,0.070,0.025,0.158
6,Dallas et al.,2017,Animal,Ammodramus nelsoni,0.22,17,GD,0.224,0.071,0.267
6,Dallas et al.,2017,Animal,Ammodramus nelsoni,-0.09,44,GD,-0.090,0.024,0.156
16,Osocrio-Olivera et al,2020,Animal,Ammodramus nelsoni,-0.21,108,MD,-0.213,0.010,0.098
16,Osocrio-Olivera et al,2020,Animal,Ammodramus nelsoni,0,108,ED,0.000,0.010,0.098
6,Dallas et al.,2017,Animal,Ammodramus nelsoni/caudacutus,0.65,13,ED,0.775,0.100,0.316
5,Curnutt et al.,1996,Animal,Ammodramus savannarum,0.82,163,GD,1.157,0.006,0.079
6,Dallas et al.,2017,Animal,Ammodramus savannarum,0.03,252,ED,0.030,0.004,0.063
6,Dallas et al.,2017,Animal,Ammodramus savannarum,-0.29,256,GD,-0.299,0.004,0.063
16,Osocrio-Olivera et al,2020,Animal,Ammodramus savannarum,-0.1,1145,MD,-0.100,0.001,0.030
16,Osocrio-Olivera et al,2020,Animal,Ammodramus savannarum,-0.23,1145,ED,-0.234,0.001,0.030
6,Dallas et al.,2017,Animal,Ammospermophilus leucurus,-0.15,18,ED,-0.151,0.067,0.258
6,Dallas et al.,2017,Animal,Ammospermophilus leucurus,-0.16,18,GD,-0.161,0.067,0.258
5,Curnutt et al.,1996,Animal,Ammospiza leconteii,0.95,9,GD,1.832,0.167,0.408
6,Dallas et al.,2017,Animal,Amphispiza bilineata,-0.09,142,ED,-0.090,0.007,0.085
6,Dallas et al.,2017,Animal,Amphispiza bilineata,-0.1,144,GD,-0.100,0.007,0.084
16,Osocrio-Olivera et al,2020,Animal,Amphispiza bilineata,-0.2,233,MD,-0.203,0.004,0.066
16,Osocrio-Olivera et al,2020,Animal,Amphispiza bilineata,-0.25,233,ED,-0.255,0.004,0.066
6,Dallas et al.,2017,Animal,Anabacerthia variegaticeps,0.12,10,GD,0.121,0.143,0.378
6,Dallas et al.,2017,Animal,Anas acuta,0,569,ED,0.000,0.002,0.042
6,Dallas et al.,2017,Animal,Anas acuta,-0.07,573,GD,-0.070,0.002,0.042
16,Osocrio-Olivera et al,2020,Animal,Anas acuta,-0.34,446,MD,-0.354,0.002,0.048
16,Osocrio-Olivera et al,2020,Animal,Anas acuta,0.03,446,ED,0.030,0.002,0.048
6,Dallas et al.,2017,Animal,Anas americana,-0.03,696,ED,-0.030,0.001,0.038
6,Dallas et al.,2017,Animal,Anas americana,0.01,702,GD,0.010,0.001,0.038
6,Dallas et al.,2017,Animal,Anas bahamensis,-0.1,15,ED,-0.100,0.083,0.289
6,Dallas et al.,2017,Animal,Anas bahamensis,0,15,GD,0.000,0.083,0.289
6,Dallas et al.,2017,Animal,Anas clypeata,0.08,599,ED,0.080,0.002,0.041
6,Dallas et al.,2017,Animal,Anas clypeata,0.07,604,GD,0.070,0.002,0.041
6,Dallas et al.,2017,Animal,Anas crecca,0.03,661,ED,0.030,0.002,0.039
6,Dallas et al.,2017,Animal,Anas crecca,-0.07,668,GD,-0.070,0.002,0.039
16,Osocrio-Olivera et al,2020,Animal,Anas crecca,-0.03,498,MD,-0.030,0.002,0.045
16,Osocrio-Olivera et al,2020,Animal,Anas crecca,0.16,498,ED,0.161,0.002,0.045
6,Dallas et al.,2017,Animal,Anas cyanoptera,0.04,314,ED,0.040,0.003,0.057
6,Dallas et al.,2017,Animal,Anas cyanoptera,0.04,314,GD,0.040,0.003,0.057
6,Dallas et al.,2017,Animal,Anas discors,0.02,597,ED,0.020,0.002,0.041
6,Dallas et al.,2017,Animal,Anas discors,0.1,604,GD,0.100,0.002,0.041
6,Dallas et al.,2017,Animal,Anas fulvigula,-0.04,81,ED,-0.040,0.013,0.113
6,Dallas et al.,2017,Animal,Anas fulvigula,0.05,82,GD,0.050,0.013,0.113
16,Osocrio-Olivera et al,2020,Animal,Anas fulvigula,-0.25,67,MD,-0.255,0.016,0.125
16,Osocrio-Olivera et al,2020,Animal,Anas fulvigula,0.01,67,ED,0.010,0.016,0.125
6,Dallas et al.,2017,Animal,Anas georgica,-0.11,18,ED,-0.110,0.067,0.258
6,Dallas et al.,2017,Animal,Anas georgica,-0.17,18,GD,-0.172,0.067,0.258
6,Dallas et al.,2017,Animal,Anas penelope,-0.14,121,ED,-0.141,0.008,0.092
6,Dallas et al.,2017,Animal,Anas penelope,0.13,123,GD,0.131,0.008,0.091
6,Dallas et al.,2017,Animal,Anas penelope x americana,-0.31,14,ED,-0.321,0.091,0.302
6,Dallas et al.,2017,Animal,Anas penelope x americana,0.04,14,GD,0.040,0.091,0.302
6,Dallas et al.,2017,Animal,Anas platyrhynchos,0.01,1732,ED,0.010,0.001,0.024
6,Dallas et al.,2017,Animal,Anas platyrhynchos,-0.02,28,ED,-0.020,0.040,0.200
6,Dallas et al.,2017,Animal,Anas platyrhynchos,-0.03,1744,GD,-0.030,0.001,0.024
6,Dallas et al.,2017,Animal,Anas platyrhynchos,0,28,GD,0.000,0.040,0.200
16,Osocrio-Olivera et al,2020,Animal,Anas platyrhynchos,-0.08,1818,MD,-0.080,0.001,0.023
16,Osocrio-Olivera et al,2020,Animal,Anas platyrhynchos,0.18,1818,ED,0.182,0.001,0.023
6,Dallas et al.,2017,Animal,Anas querquedula,0.24,9,ED,0.245,0.167,0.408
6,Dallas et al.,2017,Animal,Anas querquedula,-0.41,9,GD,-0.436,0.167,0.408
6,Dallas et al.,2017,Animal,Anas rubripes,-0.01,545,ED,-0.010,0.002,0.043
6,Dallas et al.,2017,Animal,Anas rubripes,0.06,552,GD,0.060,0.002,0.043
16,Osocrio-Olivera et al,2020,Animal,Anas rubripes,0.03,307,MD,0.030,0.003,0.057
16,Osocrio-Olivera et al,2020,Animal,Anas rubripes,0.02,307,ED,0.020,0.003,0.057
6,Dallas et al.,2017,Animal,Anas rubripes,-0.16,18,GD,-0.161,0.067,0.258
6,Dallas et al.,2017,Animal,Anas sp.,0.3,7,ED,0.310,0.250,0.500
6,Dallas et al.,2017,Animal,Anas sp.,0.89,7,GD,1.422,0.250,0.500
6,Dallas et al.,2017,Animal,Anas strepera,0,611,ED,0.000,0.002,0.041
6,Dallas et al.,2017,Animal,Anas strepera,0.01,613,GD,0.010,0.002,0.040
6,Dallas et al.,2017,Animal,Anatinae sp.,-0.17,59,ED,-0.172,0.018,0.134
6,Dallas et al.,2017,Animal,Anatinae sp.,-0.05,62,GD,-0.050,0.017,0.130
6,Dallas et al.,2017,Animal,Anhinga anhinga,-0.1,142,ED,-0.100,0.007,0.085
6,Dallas et al.,2017,Animal,Anhinga anhinga,-0.13,142,GD,-0.131,0.007,0.085
16,Osocrio-Olivera et al,2020,Animal,Anhinga anhinga,0.06,132,MD,0.060,0.008,0.088
16,Osocrio-Olivera et al,2020,Animal,Anhinga anhinga,-0.09,132,ED,-0.090,0.008,0.088
6,Dallas et al.,2017,Plant,Annona glabra,0.51,17,ED,0.563,0.071,0.267
6,Dallas et al.,2017,Plant,Annona glabra,0.44,17,GD,0.472,0.071,0.267
6,Dallas et al.,2017,Animal,Anous stolidus,0.07,13,GD,0.070,0.100,0.316
6,Dallas et al.,2017,Animal,Anser albifrons,0.15,188,ED,0.151,0.005,0.074
6,Dallas et al.,2017,Animal,Anser albifrons,-0.14,190,GD,-0.141,0.005,0.073
6,Dallas et al.,2017,Animal,Anser anser,-0.1,16,GD,-0.100,0.077,0.277
6,Dallas et al.,2017,Animal,Anser anser,-0.28,16,ED,-0.288,0.077,0.277
18,Sagarin & Gaines,2002,Animal,Anthopleura sola,-0.4,28,GD,-0.424,0.040,0.200
18,Sagarin & Gaines,2002,Animal,Anthopleura xanthogrammica,0.7,31,GD,0.867,0.036,0.189
6,Dallas et al.,2017,Animal,Anthracothorax nigricollis,0.06,13,ED,0.060,0.100,0.316
6,Dallas et al.,2017,Animal,Anthracothorax nigricollis,-0.15,13,GD,-0.151,0.100,0.316
6,Dallas et al.,2017,Animal,Anthracothorax prevostii,-0.08,17,ED,-0.080,0.071,0.267
6,Dallas et al.,2017,Animal,Anthracothorax prevostii,0.37,17,GD,0.388,0.071,0.267
6,Dallas et al.,2017,Animal,Anthus cervinus,0.2,10,GD,0.203,0.143,0.378
6,Dallas et al.,2017,Animal,Anthus rubescens,0,479,ED,0.000,0.002,0.046
6,Dallas et al.,2017,Animal,Anthus rubescens,-0.08,486,GD,-0.080,0.002,0.046
16,Osocrio-Olivera et al,2020,Animal,Anthus rubescens,-0.27,35,MD,-0.277,0.031,0.177
16,Osocrio-Olivera et al,2020,Animal,Anthus rubescens,-0.25,35,ED,-0.255,0.031,0.177
6,Dallas et al.,2017,Animal,Anthus spragueii,0.07,30,ED,0.070,0.037,0.192
6,Dallas et al.,2017,Animal,Anthus spragueii,0.36,30,GD,0.377,0.037,0.192
16,Osocrio-Olivera et al,2020,Animal,Anthus spragueii,-0.05,129,MD,-0.050,0.008,0.089
16,Osocrio-Olivera et al,2020,Animal,Anthus spragueii,-0.21,129,ED,-0.213,0.008,0.089
20,Santini et al.,2018,Animal,Antidorcas marsupialis,0.14,19,GD,0.141,0.063,0.250
